Wall time,Step,Value
1730253660.0260828,400,560.500732421875
1730253674.1915605,800,535.4711303710938
1730253691.9666111,1199,539.910888671875
1730253705.5369482,1599,534.234619140625
1730253719.2143416,1999,535.5164794921875
1730253737.6751184,2399,531.6574096679688
1730253751.267277,2799,530.6012573242188
1730253769.8277411,3199,532.824462890625
1730253783.4868321,3599,531.004638671875
1730253796.953906,3999,531.9666137695312
1730253814.6836572,4399,530.2140502929688
1730253829.0670164,4799,529.655029296875
1730253846.8794067,5199,531.0983276367188
1730253862.0572782,5599,530.1515502929688
1730253875.9438546,5999,530.8577270507812
1730253894.8097427,6399,529.7036743164062
1730253908.476289,6799,529.376708984375
1730253927.17065,7199,530.4330444335938
1730253940.9876072,7599,529.7481689453125
1730253954.5328698,7999,530.2692260742188
1730253973.151366,8399,529.4281005859375
1730253987.0699408,8799,529.189697265625
1730254004.8065631,9199,530.0469360351562
1730254018.434667,9599,529.4968872070312
1730254032.528878,9999,529.917724609375
1730254050.0127263,10399,527.993408203125
1730254063.5645814,10799,528.5640258789062
1730254082.4412346,11199,528.5565185546875
1730254096.0165083,11599,528.5731201171875
1730254109.4467363,11999,528.5576782226562
1730254128.2030225,12399,528.5759887695312
1730254141.9353156,12799,528.5977172851562
1730254159.9432023,13199,528.5896606445312
1730254173.4128625,13599,528.5975341796875
1730254187.9158015,13999,528.6029052734375
1730254205.9068556,14399,528.6010131835938
1730254219.5615869,14799,528.6317138671875
1730254238.3387103,15199,528.6265258789062
1730254252.0412998,15599,528.5787963867188
1730254265.839581,15999,528.5812377929688
1730254284.237184,16399,528.5751953125
1730254297.728841,16799,528.5912475585938
1730254315.811269,17199,528.6095581054688
1730254330.0802414,17599,528.6128540039062
1730254343.446292,17999,528.6060180664062
1730254361.1520023,18399,528.6082763671875
1730254374.938898,18799,528.6018676757812
1730254393.6191814,19199,528.5894775390625
1730254407.0403852,19599,528.6199951171875
1730254420.625153,19999,528.6546020507812
1730254439.165812,20399,528.6823120117188
1730254452.6201792,20799,528.6636962890625
1730254470.3644493,21199,528.6622314453125
1730254484.9889212,21599,528.654296875
1730254498.5436468,21999,528.6614990234375
1730254517.0363243,22399,528.6317749023438
1730254530.7558944,22799,528.6135864257812
1730254549.4976795,23199,528.6436767578125
1730254563.073803,23599,528.65576171875
1730254576.9061968,23999,528.6571655273438
1730254595.1569908,24399,528.653076171875
1730254608.639301,24799,528.657958984375
1730254626.7713728,25199,528.66943359375
1730254640.7152483,25599,528.707275390625
1730254653.6869173,25999,528.71533203125
1730254670.456007,26399,528.7374267578125
1730254683.426975,26799,528.735595703125
1730254701.2459092,27199,528.7387084960938
1730254714.3159885,27599,528.7319946289062
1730254727.5381353,27999,528.7487182617188
1730254744.5198839,28399,528.729736328125
1730254758.5354705,28799,528.7457885742188
1730254775.9390857,29199,528.7437744140625
1730254789.013663,29599,528.7155151367188
1730254802.1048965,29999,528.7127075195312
1730254819.8362136,30399,528.6931762695312
1730254832.9208388,30799,528.6791381835938
1730254850.1839948,31199,528.7005004882812
1730254863.8289974,31599,528.6785888671875
1730254877.4524438,31999,528.6796264648438
1730254894.9852488,32399,528.70068359375
1730254908.0667212,32799,528.6796875
1730254926.231947,33199,528.65576171875
1730254939.4595158,33599,528.666748046875
1730254951.9824898,33999,528.6442260742188
1730254968.2385244,34399,528.6654052734375
1730254980.8862896,34799,528.65673828125
1730254998.2014945,35199,528.6400146484375
1730255010.8079057,35599,528.6419067382812
1730255023.398679,35999,528.6262817382812
1730255040.0092747,36399,528.630859375
1730255052.6898537,36799,528.6358642578125
1730255069.9672167,37199,528.6290283203125
1730255082.6133854,37599,528.6419067382812
1730255095.0989525,37999,528.638916015625
1730255111.5839934,38399,528.6409301757812
1730255124.6779697,38799,528.6437377929688
1730255142.8975356,39199,528.643798828125
1730255155.5681124,39599,528.677978515625
1730255168.4228344,39999,528.6742553710938
1730255184.9576838,40399,528.6729125976562
1730255197.5330386,40799,528.6669311523438
1730255214.9750884,41199,528.6463623046875
1730255228.1065912,41599,528.6694946289062
1730255241.1164656,41999,528.6646118164062
1730255257.8821237,42399,528.6460571289062
1730255271.1574092,42799,528.6964721679688
1730255288.1858735,43199,528.6971435546875
