Wall time,Step,Value
1730228608.6966534,400,652.4983520507812
1730228623.9480827,800,675.37109375
1730228646.790634,1199,643.8629760742188
1730228662.7799447,1599,630.6875610351562
1730228678.0037549,1999,624.5883178710938
1730228697.6607375,2399,612.3143310546875
1730228712.2400837,2799,613.9395141601562
1730228732.998163,3199,612.1907958984375
1730228748.248893,3599,609.6273193359375
1730228763.6549652,3999,609.0014038085938
1730228783.5652146,4399,603.7233276367188
1730228798.3289425,4799,605.208984375
1730228818.376954,5199,604.9598388671875
1730228833.2198517,5599,603.985107421875
1730228847.628589,5999,603.6658935546875
1730228867.373111,6399,600.142578125
1730228882.8230045,6799,602.0730590820312
1730228904.4345632,7199,602.0640869140625
1730228919.5560608,7599,601.9769897460938
1730228935.2179034,7999,602.225830078125
1730228953.8560324,8399,599.6433715820312
1730228968.918276,8799,601.3932495117188
1730228989.4937387,9199,601.528076171875
1730229004.7339458,9599,602.3408203125
1730229020.3500457,9999,603.28759765625
1730229039.9628878,10399,600.5562744140625
1730229055.3508408,10799,599.0813598632812
1730229075.3623445,11199,600.5703125
1730229093.511193,11599,602.7866821289062
1730229108.7472346,11999,604.2496337890625
1730229128.4641154,12399,606.0429077148438
1730229144.8160646,12799,607.41650390625
1730229166.5362318,13199,607.9735107421875
1730229183.1600258,13599,610.8192749023438
1730229200.8358037,13999,612.0398559570312
1730229222.4924073,14399,613.6203002929688
1730229239.134506,14799,612.79833984375
1730229261.094423,15199,612.0575561523438
1730229277.7163334,15599,615.3302612304688
1730229295.7647219,15999,617.1533203125
1730229317.2379584,16399,619.48876953125
1730229334.7458847,16799,620.0550537109375
1730229357.7287889,17199,620.5607299804688
1730229374.4447715,17599,623.3928833007812
1730229391.827755,17999,624.6714477539062
1730229414.3660738,18399,627.4302978515625
1730229430.6752777,18799,628.7958984375
1730229453.0172963,19199,630.2965087890625
1730229468.723028,19599,632.4630737304688
1730229484.9072402,19999,633.3990478515625
1730229504.7268486,20399,634.8599853515625
1730229520.8518908,20799,634.9090576171875
1730229541.6784587,21199,635.3088989257812
1730229558.9576106,21599,636.6561279296875
1730229574.7428133,21999,637.257080078125
1730229595.4118922,22399,638.7527465820312
1730229610.9475396,22799,639.9390258789062
1730229632.506952,23199,641.2103881835938
1730229648.0890038,23599,642.1622314453125
1730229664.6857643,23999,643.1939086914062
1730229683.9759023,24399,641.7119140625
1730229700.4752362,24799,642.4353637695312
1730229719.451407,25199,644.8258056640625
1730229736.4547684,25599,645.1837158203125
1730229752.0812852,25999,646.2089233398438
1730229773.730592,26399,647.8419799804688
1730229789.5884345,26799,649.4381713867188
1730229811.2578294,27199,650.8294677734375
1730229827.849626,27599,651.1456909179688
1730229843.5948203,27999,651.4609985351562
1730229863.1664388,28399,652.4072265625
1730229878.8359556,28799,652.3515014648438
1730229897.8177733,29199,652.9908447265625
1730229914.760958,29599,654.0767211914062
1730229930.680831,29999,655.1314086914062
1730229950.1014788,30399,656.2202758789062
1730229966.168295,30799,657.2415161132812
1730229986.8908708,31199,658.841796875
1730230002.3487368,31599,659.7495727539062
1730230018.5335224,31999,660.8323974609375
1730230039.6384857,32399,661.69384765625
1730230055.5688353,32799,661.7847900390625
1730230079.3351426,33199,662.4698486328125
1730230097.8230882,33599,662.8707885742188
1730230115.2446094,33999,663.5792846679688
1730230137.2613547,34399,667.458251953125
1730230156.2666807,34799,670.1375122070312
1730230180.9137063,35199,670.8629150390625
1730230196.8999608,35599,671.5142211914062
1730230212.8374116,35999,671.5391235351562
1730230234.015217,36399,671.894775390625
1730230251.362553,36799,671.8592529296875
1730230271.8369918,37199,672.5831298828125
1730230288.297473,37599,673.1048583984375
1730230304.5621102,37999,674.4743041992188
1730230326.2044945,38399,674.4590454101562
1730230342.988018,38799,674.1612548828125
1730230364.2194002,39199,674.396484375
1730230383.0144622,39599,674.1679077148438
1730230401.5944505,39999,674.4203491210938
1730230425.239573,40399,674.535888671875
1730230442.7926016,40799,674.243408203125
1730230465.005597,41199,673.8302612304688
1730230481.7423103,41599,673.613037109375
1730230500.5191839,41999,673.6159057617188
1730230521.4901378,42399,673.2256469726562
1730230540.8383331,42799,673.0728149414062
1730230563.7073276,43199,673.2206420898438
1730230581.0607197,43599,673.2197265625
1730230598.862395,43999,673.1314697265625
1730230620.743258,44399,673.1394653320312
1730230638.2503204,44799,673.3807983398438
1730230659.800568,45199,673.6104125976562
1730230676.2450788,45599,673.81591796875
1730230694.0079243,45999,674.07861328125
1730230717.667648,46399,673.8668212890625
1730230736.5803425,46799,673.9234619140625
1730230760.3435502,47199,673.8118896484375
1730230778.0558133,47599,673.9507446289062
1730230795.2300887,47999,673.82275390625
1730230818.4788516,48399,674.2445678710938
1730230835.9828603,48799,675.4161987304688
1730230858.478066,49199,675.2837524414062
1730230875.3463385,49599,675.4114990234375
1730230893.8210428,49999,674.4840087890625
1730230917.420415,50399,674.4861450195312
1730230933.9252563,50799,675.0130615234375
1730230957.2681408,51199,675.3414306640625
1730230975.1457727,51599,675.4069213867188
1730230993.632247,51999,675.2680053710938
1730231017.5950704,52399,675.3405151367188
1730231034.354867,52799,675.720703125
1730231056.3554845,53199,675.7551879882812
1730231073.2664695,53599,676.1375122070312
1730231091.0437431,53999,676.3153076171875
1730231114.508932,54399,676.15771484375
1730231132.7985735,54799,676.3998413085938
1730231155.0368598,55199,676.4354858398438
1730231173.4357693,55599,676.1633911132812
1730231193.1108227,55999,674.2991943359375
1730231213.864559,56399,672.9285888671875
1730231230.5718446,56799,672.0917358398438
1730231253.8515344,57199,672.039306640625
1730231270.6778216,57599,672.4610595703125
1730231289.187843,57999,672.4705200195312
1730231313.5238552,58399,672.4052734375
1730231330.9213088,58799,672.6875610351562
1730231352.9994829,59199,672.8790283203125
1730231372.1723986,59599,673.1961059570312
1730231389.9420788,59999,672.58349609375
1730231413.0967767,60399,671.9291381835938
1730231430.5050976,60799,671.4191284179688
1730231453.171572,61199,671.3313598632812
1730231470.1852689,61599,671.4744262695312
1730231486.1445155,61999,670.9391479492188
1730231506.9775147,62399,670.398193359375
1730231523.2482107,62799,670.3084106445312
1730231545.3948386,63199,669.902099609375
1730231562.6405637,63599,669.8558349609375
1730231581.0224411,63999,669.6676635742188
1730231603.583048,64399,669.6307373046875
1730231621.1246374,64799,669.4918823242188
1730231645.3095827,65199,669.2510375976562
1730231662.8139238,65599,669.3594360351562
1730231680.0836713,65999,671.1475219726562
1730231703.1644475,66399,672.4163208007812
1730231721.6199634,66799,673.5023193359375
1730231744.5651078,67199,673.6162109375
1730231761.4556599,67599,673.4677124023438
1730231776.7913032,67999,673.3869018554688
1730231797.0751727,68399,672.950927734375
1730231814.9533973,68799,672.69091796875
1730231836.1452863,69199,672.5160522460938
1730231853.4046466,69599,672.224609375
1730231871.7957437,69999,673.6815185546875
1730231895.1176684,70399,674.3697509765625
1730231913.8029273,70799,675.0192260742188
1730231935.9384732,71199,675.1371459960938
1730231951.5114982,71599,675.155517578125
1730231970.2217479,71999,675.9364624023438
1730231990.4282067,72399,676.7452392578125
1730232007.797474,72799,676.8904418945312
1730232029.6891336,73199,677.1702880859375
1730232045.8367674,73599,677.1597290039062
1730232063.5274825,73999,677.2880859375
1730232085.2765002,74399,677.36572265625
1730232102.8275385,74799,677.4071655273438
1730232122.9789217,75199,677.48681640625
1730232140.9695647,75599,677.6928100585938
1730232156.092907,75999,677.8767700195312
1730232176.639313,76399,678.0234985351562
1730232193.3515968,76799,678.2733764648438
1730232217.3659391,77199,678.0869750976562
1730232237.9695623,77599,678.1150512695312
1730232254.1509032,77999,678.3311157226562
1730232277.2907028,78399,679.032958984375
1730232294.8287966,78799,679.2274780273438
1730232316.70996,79199,679.4251708984375
1730232332.8718948,79599,679.7649536132812
1730232349.987673,79999,679.7745971679688
1730232374.4114463,80399,679.8145751953125
1730232395.9376357,80799,679.8785400390625
1730232420.7738662,81199,679.8336791992188
1730232439.4918766,81599,680.0518798828125
1730232456.826855,81999,680.1897583007812
1730232479.7762651,82399,679.9931640625
1730232497.0923853,82799,680.3353881835938
1730232518.2125988,83199,680.7195434570312
1730232536.4854665,83599,680.9063110351562
1730232554.579252,83999,681.1329956054688
1730232576.887791,84399,681.3561401367188
1730232595.2406726,84799,681.6737060546875
1730232616.8965235,85199,682.0894775390625
1730232632.992843,85599,682.0498046875
1730232649.9582443,85999,682.1293334960938
1730232672.3306763,86399,682.1512451171875
1730232691.240537,86799,682.23486328125
