Wall time,Step,Value
1730242119.5220504,400,563.1336059570312
1730242133.0810275,800,532.5211181640625
1730242150.3674505,1199,542.5929565429688
1730242163.4316204,1599,537.9322509765625
1730242176.4977367,1999,542.6670532226562
1730242194.6773174,2399,539.7515869140625
1730242207.736673,2799,537.9682006835938
1730242224.7816331,3199,540.1142578125
1730242237.8254633,3599,536.6196899414062
1730242251.2097538,3999,538.4921875
1730242269.6189148,4399,537.3680419921875
1730242283.10799,4799,538.0289306640625
1730242301.2048588,5199,540.1554565429688
1730242314.1778243,5599,538.921142578125
1730242327.252272,5999,539.8173217773438
1730242344.175298,6399,539.53857421875
1730242357.3316836,6799,539.0779418945312
1730242375.2052205,7199,539.839599609375
1730242388.9152615,7599,538.26611328125
1730242401.8458285,7999,538.7144775390625
1730242419.5585802,8399,538.4954833984375
1730242433.2722335,8799,538.1390991210938
1730242450.3899891,9199,538.8827514648438
1730242463.4682567,9599,537.6891479492188
1730242476.652592,9999,538.2529296875
1730242494.6276665,10399,536.4794311523438
1730242507.5075035,10799,537.5531616210938
1730242524.6008644,11199,537.3920288085938
1730242538.5050511,11599,537.1115112304688
1730242551.628124,11999,536.3695068359375
1730242568.9025147,12399,536.8590087890625
1730242582.0102236,12799,536.818115234375
1730242600.195094,13199,536.88427734375
1730242613.5359883,13599,537.4348754882812
1730242626.478038,13999,537.31103515625
1730242643.529107,14399,537.2860717773438
1730242657.1749122,14799,536.5484619140625
1730242674.9655278,15199,536.3640747070312
1730242688.0078866,15599,536.3595581054688
1730242700.9664123,15999,536.423583984375
1730242718.7849455,16399,535.8638305664062
1730242732.1247325,16799,535.7261962890625
1730242749.6604972,17199,536.0706176757812
1730242762.8384297,17599,536.508056640625
1730242776.5416036,17999,537.123291015625
1730242793.9956324,18399,536.743408203125
1730242806.9257498,18799,536.877197265625
1730242825.4743302,19199,536.7425537109375
1730242838.4627776,19599,536.9462280273438
1730242851.448404,19999,537.3906860351562
1730242868.4827423,20399,537.4886474609375
1730242881.136506,20799,537.5661010742188
1730242898.8597527,21199,537.8017578125
1730242911.6167448,21599,537.7625732421875
1730242924.3183084,21999,537.8157348632812
1730242940.986386,22399,537.52685546875
1730242954.13687,22799,537.8218994140625
1730242971.8231018,23199,537.709716796875
1730242984.5906177,23599,537.9854125976562
1730242997.7152264,23999,538.2854614257812
1730243015.7715936,24399,538.471923828125
1730243029.358404,24799,539.2022094726562
1730243047.98043,25199,538.97412109375
1730243061.4564464,25599,538.8760986328125
1730243076.0847692,25999,538.9052124023438
1730243093.9142067,26399,539.1336669921875
1730243107.7325318,26799,539.006103515625
1730243126.784842,27199,538.868896484375
1730243140.535189,27599,538.7553100585938
1730243154.0925531,27999,538.2349243164062
1730243172.823715,28399,538.1620483398438
1730243186.3332984,28799,538.050537109375
1730243204.357798,29199,538.151611328125
1730243218.6908708,29599,537.8250122070312
1730243232.3626773,29999,537.0695190429688
1730243250.0655456,30399,537.3822631835938
1730243263.9847238,30799,537.6198120117188
1730243282.2685952,31199,537.3073120117188
1730243295.777669,31599,537.8477783203125
1730243309.5150862,31999,537.5294189453125
1730243328.9198868,32399,537.171875
1730243344.184334,32799,537.08740234375
1730243363.9993598,33199,537.2508544921875
1730243378.2346132,33599,536.9210205078125
1730243392.7688172,33999,536.6852416992188
1730243412.3828697,34399,536.3971557617188
1730243426.7582076,34799,536.5487060546875
1730243447.1473358,35199,536.6998291015625
1730243462.3588834,35599,537.1123046875
1730243476.5547018,35999,536.60693359375
1730243496.6943653,36399,536.517578125
1730243511.937971,36799,536.8902587890625
1730243531.1125321,37199,536.7490234375
1730243545.2344072,37599,536.9323120117188
1730243558.882158,37999,536.8931884765625
1730243577.8986962,38399,537.4992065429688
1730243591.5789213,38799,537.8372802734375
1730243609.3867948,39199,538.0225830078125
1730243623.8374116,39599,538.2457275390625
1730243637.676776,39999,539.0079956054688
1730243655.574069,40399,539.1373901367188
1730243669.170431,40799,539.0010375976562
1730243688.2752585,41199,538.8380126953125
1730243702.0166402,41599,538.6569213867188
1730243715.7271094,41999,538.6293334960938
1730243734.7537057,42399,538.8460693359375
1730243748.3649309,42799,539.1177978515625
1730243767.3759923,43199,538.7235717773438
1730243781.1169949,43599,538.6016845703125
1730243794.76175,43999,539.4690551757812
1730243813.1882744,44399,539.538818359375
1730243826.8734539,44799,539.2134399414062
1730243844.6101518,45199,539.0301513671875
1730243858.3581457,45599,538.6559448242188
1730243873.0341012,45999,538.9329223632812
1730243890.7694895,46399,538.9419555664062
1730243904.4958582,46799,538.9649658203125
1730243923.1936135,47199,539.556884765625
1730243937.2393227,47599,539.4656982421875
1730243950.879553,47999,539.4578247070312
1730243969.6615818,48399,538.9212036132812
1730243983.370745,48799,538.8983154296875
1730244001.2740798,49199,538.626220703125
1730244015.747257,49599,538.98681640625
1730244029.4162874,49999,538.301513671875
1730244047.337193,50399,538.1006469726562
1730244061.4416764,50799,537.8541870117188
1730244080.1808596,51199,537.6356811523438
1730244093.7777355,51599,537.7615966796875
1730244107.3845305,51999,538.3897705078125
1730244125.8559234,52399,538.4027099609375
1730244139.386307,52799,538.4940795898438
1730244157.330148,53199,538.6156616210938
1730244172.009146,53599,538.3229370117188
1730244185.800025,53999,537.393798828125
1730244203.7785804,54399,537.6084594726562
1730244218.1594043,54799,537.0603637695312
1730244236.3815172,55199,536.7745971679688
1730244250.1044552,55599,536.8582153320312
1730244263.6997783,55999,537.1027221679688
1730244282.5586565,56399,536.7036743164062
1730244296.3226721,56799,536.9867553710938
1730244315.0228806,57199,536.2930297851562
1730244328.7259357,57599,535.703857421875
1730244342.276785,57999,535.6051025390625
1730244360.1233304,58399,535.7507934570312
1730244374.6094444,58799,535.7029418945312
1730244392.6897187,59199,535.6878662109375
1730244406.4257798,59599,535.2636108398438
1730244420.9023142,59999,535.48828125
1730244438.9482915,60399,535.26708984375
1730244452.7021363,60799,535.1514892578125
1730244472.2748063,61199,535.6268310546875
1730244486.0248733,61599,535.278076171875
1730244499.8541296,61999,535.5128784179688
1730244518.655672,62399,535.0693359375
1730244532.6438553,62799,534.8956909179688
1730244551.0324597,63199,535.1526489257812
1730244565.260586,63599,534.9605102539062
1730244578.9293232,63999,534.4383544921875
1730244596.8919883,64399,534.1842651367188
1730244611.3785458,64799,534.3645629882812
1730244629.45653,65199,534.8807983398438
1730244643.1764913,65599,535.2438354492188
1730244657.3105354,65999,535.52392578125
1730244675.875641,66399,536.1051635742188
1730244689.359319,66799,535.5087890625
1730244708.2197168,67199,535.7459106445312
1730244722.1208577,67599,536.4249877929688
1730244735.8438396,67999,537.06494140625
1730244754.598485,68399,537.106689453125
1730244768.4316642,68799,537.2598266601562
1730244786.694431,69199,537.872314453125
1730244800.4190059,69599,538.5374145507812
1730244815.0480955,69999,538.0791625976562
1730244833.0791447,70399,537.6506958007812
1730244846.8430307,70799,538.3380737304688
1730244865.9533255,71199,538.3130493164062
1730244879.7183444,71599,538.2466430664062
1730244893.551648,71999,537.7467041015625
1730244912.2475772,72399,538.0318603515625
1730244926.0682287,72799,538.077880859375
1730244944.6204205,73199,537.851318359375
1730244958.6322284,73599,538.4356079101562
1730244972.5433843,73999,539.1502075195312
1730244990.4267569,74399,539.213134765625
1730245005.054945,74799,538.947998046875
1730245023.1580222,75199,538.8876953125
1730245037.1060717,75599,538.1130981445312
1730245051.5406384,75999,537.90380859375
1730245069.8096356,76399,537.6620483398438
1730245083.8069034,76799,538.1143188476562
1730245102.8089502,77199,537.8258056640625
1730245116.745504,77599,537.8085327148438
1730245130.6285572,77999,537.524658203125
1730245149.3124511,78399,537.3338012695312
1730245163.296705,78799,537.369140625
1730245181.36518,79199,536.6455688476562
1730245195.7760067,79599,536.5416870117188
1730245209.5279615,79999,536.8211669921875
1730245227.2288074,80399,537.473388671875
1730245240.9986584,80799,537.3892211914062
1730245260.0955555,81199,537.400146484375
1730245274.1501348,81599,538.4075927734375
1730245288.0189056,81999,538.69921875
1730245306.8549426,82399,538.9251098632812
